Категория,Страна,Оценка зрителей,Оценка сайта,Оценка IMDb,Год выхода
мультфильмы ,США,"
                6.7


                ",0,"
                9

",1992
мультфильмы ,США,"
                5.5


                ",0,"
                8.7

",2004
мультфильмы ,США,"
                6.6


                ",0,"
                8.5

",2001
мультфильмы ,США,"
                7.0


                ",0,"
                8.4

",2019
мультфильмы ,США,"
                7.5


                ",0,"
                8.4

",1997
мультфильмы ,США,"
                7.1


                ",0,"
                8.3

",2013
мультфильмы ,США,"
                7.0


                ",0,"
                8.1

",1999
мультфильмы ,США,"
                7.2


                ",0,"
                8

",2012
мультфильмы ,Австралия,"
                6.9


                ","
                9


                ","
                7.7

",2014
мультфильмы ,США,"
                8.1


                ",0,"
                7.7

",2020
боевик ,США,"
                6.6


                ",0,"
                7.7

",1999
боевик ,США,"
                6.2


                ",0,"
                7.7

",2000
приключения ,США,"
                5.5


                ",0,"
                7.6

",2015
мультфильмы ,США,"
                6.5


                ",0,"
                7.6

",2008
мультфильмы ,США,"
                6.1


                ",0,"
                7.5

",2015
мультфильмы ,США,"
                6.8


                ",0,"
                7.5

",2016
мультфильмы ,США,"
                6.8


                ",0,"
                7.4

",2014
мультфильмы ,США,"
                7.9


                ",0,"
                7.4

",2004
мультфильмы ,США,"
                7.5


                ","
                8


                ","
                7.3

",2017
мультфильмы ,США,"
                6.5


                ",0,"
                7.3

",2013
мультфильмы ,США,"
                5.9


                ",0,"
                7.3

",2008
мультфильмы ,США,"
                6.0


                ",0,"
                7.2

",2021
мультфильмы ,США,"
                6.8


                ",0,"
                7.2

",2010
мультфильмы ,США,"
                6.1


                ",0,"
                7.2

",1973
мультфильмы ,США,"
                6.9


                ",0,"
                7.1

",2022
мультфильмы ,США,"
                6.5


                ",0,"
                7.1

",2015
мультфильмы ,США,"
                7.0


                ",0,"
                7.1

",2009
мультфильмы ,США,"
                6.8


                ",0,"
                7

",2015
мультфильмы ,США,"
                7.1


                ",0,"
                7

",2016
боевик ,США,"
                6.7


                ",0,"
                6.9

",2016
боевик ,США,"
                7.1


                ","
                8


                ","
                8.5

",2024
боевик ,Великобритания,"
                5.5


                ","
                8


                ","
                6.7

",2024
боевик ,США,"
                4.2


                ","
                8


                ","
                7.1

",2024
ужасы ,Австралия,"
                5.8


                ","
                8


                ","
                7

",2023
ужасы ,США,"
                5.0


                ",0,"
                6.5

",2024
драма ,США,"
                5.6


                ","
                10


                ","
                7.2

",2024
боевик ,США,"
                6.0


                ","
                10


                ","
                6.8

",2023
боевик ,США,"
                5.9


                ","
                9


                ","
                7.5

",2024
мультфильмы ,США,"
                6.9


                ","
                7


                ","
                7.7

",2024
драма ,США,"
                6.2


                ","
                7


                ","
                6.6

",2024
детектив ,США,"
                6.3


                ","
                8


                ","
                7.4

",2019
детектив ,США,"
                6.1


                ","
                8


                ","
                7.3

",2018
детектив ,США,"
                5.8


                ","
                8


                ","
                7.1

",2019
триллер ,Австралия,"
                6.1


                ","
                8


                ","
                7.1

",2023
триллер ,США,"
                6.7


                ","
                8


                ","
                7

",2015
ужасы ,Канада,"
                5.7


                ","
                8


                ","
                7

",2022
драма ,США,"
                6.3


                ","
                9


                ","
                7

",2015
детектив ,Великобритания,"
                6.3


                ","
                8


                ","
                7

",2017
триллер ,США,"
                2.7


                ","
                8


                ","
                6.4

",2024
детектив ,Канада,"
                6.5


                ","
                7


                ","
                6.9

",2013
драма ,Франция,"
                6.0


                ","
                9


                ","
                6.9

",2018
драма ,Канада,"
                5.4


                ","
                10


                ","
                6.7

",2023
детектив ,Великобритания,"
                6.0


                ","
                8


                ","
                6.7

",2019
триллер ,США,"
                5.0


                ","
                8


                ","
                6.5

",2022
детектив ,Исландия,"
                6.3


                ","
                7


                ","
                6.3

",2021
детектив ,Великобритания,"
                5.4


                ","
                10


                ","
                6.3

",2013
драма ,Великобритания,"
                5.8


                ","
                8


                ","
                6.2

",2018
детектив ,США,"
                5.6


                ","
                8


                ","
                6.2

",2017
комедия ,США,"
                5.8


                ","
                7


                ","
                6.2

",2022
детектив ,США,"
                6.6


                ","
                7


                ","
                5.9

",2015
детектив ,Великобритания,"
                6.1


                ",0,"
                5.8

",2018
комедия ,США,"
                5.6


                ","
                8


                ","
                5.7

",2014
ужасы ,Ирландия,"
                5.9


                ",0,"
                5.6

",2019
драма ,США,"
                5.6


                ",0,"
                5.4

",2016
комедия ,США,"
                5.6


                ","
                5


                ","
                5.4

",2014
детектив ,США,"
                6.5


                ","
                5


                ","
                6

",2024
ужасы ,США,"
                5.5


                ","
                8


                ","
                7.4

",2024
драма ,США,"
                6.3


                ",0,"
                7.2

",2024
ужасы ,США,0,0,"
                9.3

",2024
драма ,США,0,0,"
                6.1

",2024
детектив ,США,0,0,0,2024
триллер ,США,0,0,"
                7.7

",2024
детектив ,США,0,0,0,2024
драма ,США,0,0,0,2024
ужасы ,США,0,0,0,2024
комедия ,Россия,"
                6.2


                ","
                6


                ","
                7.3

",2024
драма ,Китай,"
                6.2


                ","
                8


                ","
                7

",2024
драма ,США,"
                6.0


                ","
                8


                ","
                6.2

",2023
детектив ,Германия,"
                5.8


                ","
                9


                ","
                7.8

",2009
боевик ,США,"
                6.2


                ","
                6


                ","
                5.9

",2024
биографический ,Россия,"
                6.4


                ","
                7


                ","
                7.8

",2024
комедия ,США,"
                6.5


                ","
                6


                ","
                6.2

",2024
драма ,Германия,"
                7.1


                ",0,"
                8.1

",1984
драма ,Великобритания,"
                5.8


                ","
                9


                ","
                8

",2024
боевик ,США,"
                6.1


                ","
                3


                ","
                5.1

",2024
боевик ,Франция,"
                6.4


                ",0,"
                8

",2024
драма ,Россия,"
                6.2


                ","
                5


                ",0,2023
ужасы ,США,0,0,"
                9.3

",2024
комедия ,Франция,0,0,"
                6

",2024
мультфильмы ,Япония,"
                7.9


                ","
                7


                ","
                7.8

",1989
боевик ,США,"
                6.8


                ","
                4


                ","
                4.5

",2024
боевик ,США,"
                7.1


                ","
                5


                ","
                8

",2024
боевик ,США,"
                6.0


                ","
                8


                ","
                7.8

",2022
боевик ,США,"
                7.4


                ","
                8


                ","
                7.9

",2017
боевик ,США,"
                7.0


                ","
                7


                ","
                5.9

",2016
боевик ,США,"
                7.3


                ","
                7


                ","
                8

",2014
боевик ,США,"
                7.4


                ","
                6


                ","
                6.4

",2008
боевик ,США,"
                7.4


                ","
                7


                ","
                7.8

",2005
комедия ,США,"
                7.0


                ","
                8


                ","
                6.7

",2005
комедия ,Канада,"
                7.4


                ",0,"
                3.5

",2001
комедия ,США,"
                7.5


                ",0,"
                7.4

",1999
боевик ,Франция,"
                8.4


                ",0,"
                7.6

",1997
боевик ,США,"
                7.9


                ",0,"
                7.3

",1997
комедия ,США,"
                6.4


                ",0,"
                7.1

",1987
боевик ,США,"
                7.1


                ",0,"
                4.7

",1986
драма ,США,"
                5.6


                ","
                5


                ","
                6

",2024
биографический ,Германия,"
                6.6


                ","
                8


                ","
                6.3

",2024
детектив ,США,"
                5.9


                ","
                7


                ","
                6.3

",2024
драма ,США,"
                6.2


                ","
                8


                ","
                6.7

",2024
драма ,США,"
                5.6


                ","
                9


                ","
                8.2

",2024
драма ,Испания,"
                6.7


                ","
                9


                ","
                6.6

",2024
биографический ,США,"
                6.8


                ",0,"
                5.9

",2024
комедия ,США,"
                5.4


                ",0,"
                7

",2024
драма ,Великобритания,"
                6.6


                ","
                8


                ","
                8.2

",2022
детектив ,США,"
                4.1


                ","
                6


                ","
                6.6

",2024
драма ,Италия,"
                6.9


                ","
                8


                ","
                8.6

",2018
боевик ,США,"
                6.2


                ",0,"
                6.8

",2024
биографический ,США,"
                5.0


                ",0,"
                7.9

",2024
драма ,США,"
                6.4


                ","
                6


                ","
                8.8

",2024
комедия ,США,0,0,0,2024
мультфильмы ,Япония,0,0,0,2024
война ,США,"
                6.7


                ","
                8


                ","
                8.6

",2024
драма ,США,"
                6.1


                ","
                7


                ","
                8.2

",2021
драма ,США,"
                6.0


                ","
                8


                ","
                8.6

",2022
драма ,США,"
                6.8


                ","
                7


                ","
                8.2

",2019
